"persid","hhid","age_band","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","TRAVYEAR","REGION","SA1_CODE_2021","participant_wt","ses"
"100004/1000",100004,"50-54 years",12,52,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31003129217",163.912643432617,"2"
"100012/1000",100012,"25-29 years",7,27,"male","employed","Yes",NA,"Community and Personal Service Workers","Public Administration and Safety",2021,"Greater Brisbane","31003129217",195.456893920898,"2"
"100012/1001",100012,"20-24 years",6,22,"female","employed","Yes",NA,"Community and Personal Service Workers","Public Administration and Safety",2021,"Greater Brisbane","31003129217",232.704406738281,"2"
"100015/1000",100015,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31003129217",141.843811035156,"2"
"100015/1001",100015,"65-69 years",15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31003129217",101.395683288574,"2"
"100031/1000",100031,"15-19 years",5,17,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",232.997085571289,"10"
"100031/1001",100031,"50-54 years",12,52,"female","employed","Yes",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane","31106132908",211.326843261719,"10"
"100031/1002",100031,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Construction",2021,"Greater Brisbane","31106132908",205.661956787109,"10"
"100031/1003",100031,"15-19 years",5,17,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",261.753723144531,"10"
"100039/1000",100039,"55-59 years",13,57,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",124.50057220459,"10"
"100039/1001",100039,"60-64 years",14,62,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",144.323944091797,"10"
"100043/1000",100043,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",102.54719543457,"10"
"100043/1001",100043,"80-84 years",18,82,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",85.9947814941406,"10"
"100049/1000",100049,"45-49 years",11,47,"male","employed","Yes",NA,NA,"Electricity, Gas, Water and Waste Services",2021,"Greater Brisbane","31106132908",185.775009155273,"10"
"100049/1001",100049,"45-49 years",11,47,"female","employed","Yes",NA,"Professional","Education and Training",2021,"Greater Brisbane","31106132908",253.594482421875,"10"
"100049/1002",100049,"15-19 years",5,17,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",218.963638305664,"10"
"100053/1000",100053,"70-74 years",16,72,"male","employed","No",NA,"Technicians and Trades Worker","Transport, Postal and Warehousing",2021,"Greater Brisbane","31106132908",123.979629516602,"10"
"100053/1001",100053,"65-69 years",15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",129.623992919922,"10"
"100056/1000",100056,"45-49 years",11,47,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",253.594482421875,"10"
"100056/1001",100056,"45-49 years",11,47,"male","employed","Yes",NA,"Professional","Other Services",2021,"Greater Brisbane","31106132908",185.775009155273,"10"
"100060/1000",100060,"40-44 years",10,42,"female","employed","Yes",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane","31106132908",183.191558837891,"10"
"100061/1000",100061,"25-29 years",7,27,"male","employed","Yes",NA,"Machinery Operators and Drivers","Manufacturing",2021,"Greater Brisbane","31302136814",564.866821289062,"2"
"100065/1000",100065,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",136.799423217773,"10"
"100065/1001",100065,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",166.379119873047,"10"
"100066/1000",100066,"60-64 years",14,62,"male","employed","Yes",NA,"Technicians and Trades Worker","Agriculture, Forestry and Fishing",2021,"Greater Brisbane","30101100314",93.5367965698242,"6"
"100066/1001",100066,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30101100314",74.8938827514648,"6"
"100068/1000",100068,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",102.54719543457,"10"
"100068/1001",100068,"80-84 years",18,82,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",85.9947814941406,"10"
"100069/1000",100069,"65-69 years",15,67,"male","employed","Yes",NA,"Labourers","Construction",2021,"Greater Brisbane","30103101509",351.451293945312,"9"
"100069/1001",100069,"65-69 years",15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30103101509",304.822784423828,"9"
"100070/1000",100070,"50-54 years",12,52,"female","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30103101509",545.808776855469,"9"
"100070/1001",100070,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30103101509",549.466125488281,"9"
"100071/1000",100071,"65-69 years",15,67,"male","employed","No",NA,"Technicians and Trades Worker","Construction",2021,"Greater Brisbane","30103101509",378.907562255859,"9"
"100071/1001",100071,"60-64 years",14,62,"female","employed","Yes",NA,"Clerical and Administrative Worker","Wholesale Trade",2021,"Greater Brisbane","30103101509",471.933685302734,"9"
"100071/1002",100071,"20-24 years",6,22,"female","employed","Yes",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane","30103101509",856.685302734375,"9"
"100071/1003",100071,"20-24 years",6,22,"male","employed","Yes",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane","30103101509",967.1748046875,"9"
"100076/1000",100076,"75-79 years",17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",121.247848510742,"10"
"100076/1001",100076,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106132908",102.54719543457,"10"
"100089/1000",100089,"60-64 years",14,62,"female","employed","No",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane","30501110611",474.000030517578,"10"
"100114/1000",100114,"55-59 years",13,57,"female","employed","Yes",NA,"Clerical and Administrative Worker","Public Administration and Safety",2021,"Greater Brisbane","30501110611",568.320922851562,"10"
"100114/1001",100114,"20-24 years",6,22,"male","employed","Yes",NA,"Technicians and Trades Worker","Accommodation and Food Services",2021,"Greater Brisbane","30501110611",1088.4951171875,"10"
"100114/1002",100114,"15-19 years",5,17,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30501110611",609.817321777344,"10"
