persid,cluster_id,household_id,participant_id,age_band,sex,year,trip_id,trip_purpose,participant_wt,trips_wt,trip_mode,trip_duration,trip_distance,day_type,trip_id_2,age_group,dist_cat
100004/1000,NA,100004,1,50-54 years,male,21,1,Other,163.912643432617,163.912643432617,car,60,81.47,weekday,1,40 to 64,>10km
100004/1000,NA,100004,1,50-54 years,male,21,2,Shopping,163.912643432617,163.912643432617,car,6,2,weekday,2,40 to 64,1-2km
100004/1000,NA,100004,1,50-54 years,male,21,3,Shopping,163.912643432617,163.912643432617,car,6,1.97,weekday,3,40 to 64,1-2km
100012/1000,NA,100012,2,25-29 years,male,21,4,Work,195.456893920898,195.456893920898,car,30,12.77,weekday,1,20 to 39,>10km
100012/1000,NA,100012,2,25-29 years,male,21,5,Work,195.456893920898,195.456893920898,car,30,12.5,weekday,2,20 to 39,>10km
100012/1001,NA,100012,3,20-24 years,female,21,6,Work,232.704406738281,232.704406738281,car,30,12.77,weekday,1,20 to 39,>10km
100012/1001,NA,100012,3,20-24 years,female,21,7,Work,232.704406738281,232.704406738281,car,30,12.5,weekday,2,20 to 39,>10km
100015/1000,NA,100015,4,65-69 years,male,21,8,Leisure,141.843811035156,141.843811035156,pedestrian,30,1.91,weekday,1,65 plus,1-2km
100015/1000,NA,100015,4,65-69 years,male,21,9,Leisure,141.843811035156,141.843811035156,pedestrian,30,1.91,weekday,2,65 plus,1-2km
100015/1001,NA,100015,5,65-69 years,female,21,10,Leisure,101.395683288574,101.395683288574,pedestrian,30,1.91,weekday,1,65 plus,1-2km
100015/1001,NA,100015,5,65-69 years,female,21,11,Leisure,101.395683288574,101.395683288574,pedestrian,30,1.91,weekday,2,65 plus,1-2km
100031/1000,NA,100031,6,15-19 years,female,21,12,Other,232.997085571289,232.997085571289,car,5,2.28,weekday,1,15 to 19,3-5km
100031/1000,NA,100031,6,15-19 years,female,21,13,Other,232.997085571289,232.997085571289,car,5,2.22,weekday,2,15 to 19,3-5km
100031/1000,NA,100031,6,15-19 years,female,21,14,Other,232.997085571289,232.997085571289,car,2,2.28,weekday,3,15 to 19,3-5km
100031/1000,NA,100031,6,15-19 years,female,21,15,Leisure,232.997085571289,232.997085571289,car,15,6.4,weekday,4,15 to 19,6-10km
100031/1000,NA,100031,6,15-19 years,female,21,16,Leisure,232.997085571289,232.997085571289,car,15,7.82,weekday,5,15 to 19,6-10km
100031/1000,NA,100031,6,15-19 years,female,21,17,Leisure,232.997085571289,232.997085571289,car,5,2.28,weekday,6,15 to 19,3-5km
100031/1000,NA,100031,6,15-19 years,female,21,18,Leisure,232.997085571289,232.997085571289,car,5,2.22,weekday,7,15 to 19,3-5km
100031/1001,NA,100031,7,50-54 years,female,21,19,Work,211.326843261719,211.326843261719,car,25,27.4,weekday,1,40 to 64,>10km
100031/1001,NA,100031,7,50-54 years,female,21,20,Work,211.326843261719,211.326843261719,car,30,27.25,weekday,2,40 to 64,>10km
100031/1002,NA,100031,8,50-54 years,male,21,21,Work,205.661956787109,205.661956787109,car,45,16.23,weekday,1,40 to 64,>10km
100031/1002,NA,100031,8,50-54 years,male,21,22,Work,205.661956787109,205.661956787109,car,45,16.25,weekday,2,40 to 64,>10km
100031/1003,NA,100031,9,15-19 years,male,21,23,Education,261.753723144531,261.753723144531,car,5,2.28,weekday,1,15 to 19,3-5km
100031/1003,NA,100031,9,15-19 years,male,21,24,Education,261.753723144531,261.753723144531,car,5,2.22,weekday,2,15 to 19,3-5km
100039/1000,NA,100039,10,55-59 years,female,21,25,Other,124.50057220459,124.50057220459,car,120,154.3,weekday,1,40 to 64,>10km
100039/1000,NA,100039,10,55-59 years,female,21,26,Shopping,124.50057220459,124.50057220459,car,10,2.75,weekday,2,40 to 64,3-5km
100039/1000,NA,100039,10,55-59 years,female,21,27,Shopping,124.50057220459,124.50057220459,car,10,2.74,weekday,3,40 to 64,3-5km
100039/1000,NA,100039,10,55-59 years,female,21,28,Leisure,124.50057220459,124.50057220459,car,10,1.18,weekday,4,40 to 64,1-2km
100039/1000,NA,100039,10,55-59 years,female,21,29,Leisure,124.50057220459,124.50057220459,car,5,1.18,weekday,5,40 to 64,1-2km
100039/1001,NA,100039,11,60-64 years,male,21,30,Other,144.323944091797,144.323944091797,car,120,154.3,weekday,1,40 to 64,>10km
100039/1001,NA,100039,11,60-64 years,male,21,31,Leisure,144.323944091797,144.323944091797,car,10,2.75,weekday,2,40 to 64,3-5km
100039/1001,NA,100039,11,60-64 years,male,21,32,Other,144.323944091797,144.323944091797,car,35,12.96,weekday,3,40 to 64,>10km
100039/1001,NA,100039,11,60-64 years,male,21,33,Leisure,144.323944091797,144.323944091797,car,15,3.2,weekday,4,40 to 64,3-5km
100039/1001,NA,100039,11,60-64 years,male,21,34,Leisure,144.323944091797,144.323944091797,car,20,14.88,weekday,5,40 to 64,>10km
100043/1000,NA,100043,12,75-79 years,female,21,35,Other,102.54719543457,102.54719543457,car,420,360.15,weekday,1,65 plus,>10km
100043/1001,NA,100043,13,80-84 years,male,21,36,Other,85.9947814941406,85.9947814941406,car,420,360.15,weekday,1,65 plus,>10km
100049/1000,NA,100049,14,45-49 years,male,21,37,Other,185.775009155273,185.775009155273,car,55,26.82,weekday,1,40 to 64,>10km
100049/1000,NA,100049,14,45-49 years,male,21,38,Work,185.775009155273,185.775009155273,car,25,10.14,weekday,2,40 to 64,>10km
100049/1000,NA,100049,14,45-49 years,male,21,39,Work,185.775009155273,185.775009155273,bicycle,15,4.47,weekday,2,40 to 64,3-5km
100049/1000,NA,100049,14,45-49 years,male,21,40,Other,185.775009155273,185.775009155273,bicycle,10,4.47,weekday,3,40 to 64,3-5km
100049/1000,NA,100049,14,45-49 years,male,21,41,Other,185.775009155273,185.775009155273,car,8,3.03,weekday,3,40 to 64,3-5km
100049/1000,NA,100049,14,45-49 years,male,21,42,Other,185.775009155273,185.775009155273,car,42,23.75,weekday,4,40 to 64,>10km
100049/1001,NA,100049,15,45-49 years,female,21,43,Work,253.594482421875,253.594482421875,other,95,1179.67,weekday,1,40 to 64,>10km
100049/1001,NA,100049,15,45-49 years,female,21,44,Work,253.594482421875,253.594482421875,car,25,31.22,weekday,2,40 to 64,>10km
100049/1002,NA,100049,16,15-19 years,male,21,45,Education,218.963638305664,218.963638305664,car,55,26.82,weekday,1,15 to 19,>10km
100049/1002,NA,100049,16,15-19 years,male,21,46,Other,218.963638305664,218.963638305664,pedestrian,14,1.39,weekday,2,15 to 19,1-2km
100049/1002,NA,100049,16,15-19 years,male,21,47,Other,218.963638305664,218.963638305664,train,13,7.25,weekday,2,15 to 19,6-10km
