"persid","hhid","age_band","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","TRAVYEAR","REGION","SA1_CODE_2021","participant_wt","ses","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_base","walk_scen","walk_base_min"
"100004/1000",100004,"50-54 years",12,52,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31003129217,163.912643432617,2,8.4,85.44,0,0,0,0,0,0,0,0,7,81.47,6.9475,3.97,0,0,0,0,0,0,"No","Yes","No"
"100012/1000",100012,"25-29 years",7,27,"male","employed","Yes",NA,"Community and Personal Service Workers","Public Administration and Safety",2021,"Greater Brisbane",31003129217,195.456893920898,2,7,25.27,0,0,0,0,0,0,0,0,7,25.27,0,0,0,0,0,0,0,0,"No","No","No"
"100012/1001",100012,"20-24 years",6,22,"female","employed","Yes",NA,"Community and Personal Service Workers","Public Administration and Safety",2021,"Greater Brisbane",31003129217,232.704406738281,2,7,25.27,0,0,0,0,0,0,0,0,7,25.27,0,0,0,0,0,0,0,0,"No","No","No"
"100015/1000",100015,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31003129217,141.843811035156,2,0,0,7,3.82,0,0,0,0,0,0,0,0,7,3.82,0,0,0,0,0,0,"Yes","Yes","Yes"
"100015/1001",100015,"65-69 years",15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31003129217,101.395683288574,2,0,0,7,3.82,0,0,0,0,0,0,0,0,7,3.82,0,0,0,0,0,0,"Yes","Yes","Yes"
"100031/1000",100031,"15-19 years",5,17,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,232.997085571289,10,6.06666666666667,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2272727272727,25.5,"No","No","No"
"100031/1001",100031,"50-54 years",12,52,"female","employed","Yes",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane",31106132908,211.326843261719,10,6.41666666666667,54.65,0,0,0,0,0,0,0,0,6.41666666666667,54.65,0,0,0,0,0,0,0,0,"No","No","No"
"100031/1002",100031,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Construction",2021,"Greater Brisbane",31106132908,205.661956787109,10,10.5,32.48,0,0,0,0,0,0,0,0,10.5,32.48,0,0,0,0,0,0,0,0,"No","No","No"
"100031/1003",100031,"15-19 years",5,17,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,261.753723144531,10,1.16666666666667,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86363636363636,4.5,"No","No","No"
"100039/1000",100039,"55-59 years",13,57,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,124.50057220459,10,18.0833333333333,162.15,0,0,0,0,0,0,0,0,14,154.3,4.13,2.36,0,0,0,0,3.49363636363636,5.49,"No","Yes","No"
"100039/1001",100039,"60-64 years",14,62,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,144.323944091797,10,23.3333333333333,188.09,0,0,0,0,0,0,0,0,20.4166666666667,182.14,0,0,0,0,0,0,3.78636363636364,5.95,"No","No","No"
"100043/1000",100043,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,102.54719543457,10,49,360.15,0,0,0,0,0,0,0,0,49,360.15,0,0,0,0,0,0,0,0,"No","No","No"
"100043/1001",100043,"80-84 years",18,82,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,85.9947814941406,10,49,360.15,0,0,0,0,0,0,0,0,49,360.15,0,0,0,0,0,0,0,0,"No","No","No"
"100049/1000",100049,"45-49 years",11,47,"male","employed","Yes",NA,NA,"Electricity, Gas, Water and Waste Services",2021,"Greater Brisbane",31106132908,185.775009155273,10,15.1666666666667,63.74,0,0,0,0,0,0,2.91666666666667,8.94,14.2333333333333,60.71,0,0,0,0,0,0,4.84484848484848,11.97,"No","No","No"
"100049/1001",100049,"45-49 years",11,47,"female","employed","Yes",NA,"Professional","Education and Training",2021,"Greater Brisbane",31106132908,253.594482421875,10,2.91666666666667,31.22,0,0,0,0,11.0833333333333,1179.67,0,0,2.91666666666667,31.22,0,0,0,0,11.0833333333333,1179.67,0,0,"No","No","No"
"100049/1002",100049,"15-19 years",5,17,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,218.963638305664,10,11.3166666666667,50.57,3.03333333333333,4.05,1.51666666666667,7.25,0,0,0,0,11.3166666666667,50.57,3.03333333333333,4.05,1.51666666666667,7.25,0,0,0,0,"Yes","Yes","Yes"
"100053/1000",100053,"70-74 years",16,72,"male","employed","No",NA,"Technicians and Trades Worker","Transport, Postal and Warehousing",2021,"Greater Brisbane",31106132908,123.979629516602,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
