"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"100004/1000",NA,100004,1,"50-54 years","male",21,1,"Other",163.912643432617,163.912643432617,"car",1,81.47,"weekday",1,"40 to 64",">10km","car",81.47,1,7,7
"100004/1000",NA,100004,1,"50-54 years","male",21,2,"Shopping",163.912643432617,163.912643432617,"car",0.1,2,"weekday",2,"40 to 64","1-2km","bicycle",2,0.181818181818182,0.7,1.27272727272727
"100004/1000",NA,100004,1,"50-54 years","male",21,3,"Shopping",163.912643432617,163.912643432617,"car",0.1,1.97,"weekday",3,"40 to 64","1-2km","bicycle",1.97,0.179090909090909,0.7,1.25363636363636
"100012/1000",NA,100012,2,"25-29 years","male",21,4,"Work",195.456893920898,195.456893920898,"car",0.5,12.77,"weekday",1,"20 to 39",">10km","car",12.77,0.5,3.5,3.5
"100012/1000",NA,100012,2,"25-29 years","male",21,5,"Work",195.456893920898,195.456893920898,"car",0.5,12.5,"weekday",2,"20 to 39",">10km","car",12.5,0.5,3.5,3.5
"100012/1001",NA,100012,3,"20-24 years","female",21,6,"Work",232.704406738281,232.704406738281,"car",0.5,12.77,"weekday",1,"20 to 39",">10km","car",12.77,0.5,3.5,3.5
"100012/1001",NA,100012,3,"20-24 years","female",21,7,"Work",232.704406738281,232.704406738281,"car",0.5,12.5,"weekday",2,"20 to 39",">10km","car",12.5,0.5,3.5,3.5
"100015/1000",NA,100015,4,"65-69 years","male",21,8,"Leisure",141.843811035156,141.843811035156,"walking",0.5,1.91,"weekday",1,"65 plus","1-2km","walking",1.91,0.5,3.5,3.5
"100015/1000",NA,100015,4,"65-69 years","male",21,9,"Leisure",141.843811035156,141.843811035156,"walking",0.5,1.91,"weekday",2,"65 plus","1-2km","walking",1.91,0.5,3.5,3.5
"100015/1001",NA,100015,5,"65-69 years","female",21,10,"Leisure",101.395683288574,101.395683288574,"walking",0.5,1.91,"weekday",1,"65 plus","1-2km","walking",1.91,0.5,3.5,3.5
"100015/1001",NA,100015,5,"65-69 years","female",21,11,"Leisure",101.395683288574,101.395683288574,"walking",0.5,1.91,"weekday",2,"65 plus","1-2km","walking",1.91,0.5,3.5,3.5
"100031/1000",NA,100031,6,"15-19 years","female",21,12,"Other",232.997085571289,232.997085571289,"car",0.0833333333333333,2.28,"weekday",1,"15 to 19","3-5km","car",2.28,0.0833333333333333,0.583333333333333,0.583333333333333
"100031/1000",NA,100031,6,"15-19 years","female",21,13,"Other",232.997085571289,232.997085571289,"car",0.0833333333333333,2.22,"weekday",2,"15 to 19","3-5km","car",2.22,0.0833333333333333,0.583333333333333,0.583333333333333
"100031/1000",NA,100031,6,"15-19 years","female",21,14,"Other",232.997085571289,232.997085571289,"car",0.0333333333333333,2.28,"weekday",3,"15 to 19","3-5km","car",2.28,0.0333333333333333,0.233333333333333,0.233333333333333
"100031/1000",NA,100031,6,"15-19 years","female",21,15,"Leisure",232.997085571289,232.997085571289,"car",0.25,6.4,"weekday",4,"15 to 19","6-10km","car",6.4,0.25,1.75,1.75
"100031/1000",NA,100031,6,"15-19 years","female",21,16,"Leisure",232.997085571289,232.997085571289,"car",0.25,7.82,"weekday",5,"15 to 19","6-10km","car",7.82,0.25,1.75,1.75
"100031/1000",NA,100031,6,"15-19 years","female",21,17,"Leisure",232.997085571289,232.997085571289,"car",0.0833333333333333,2.28,"weekday",6,"15 to 19","3-5km","car",2.28,0.0833333333333333,0.583333333333333,0.583333333333333
"100031/1000",NA,100031,6,"15-19 years","female",21,18,"Leisure",232.997085571289,232.997085571289,"car",0.0833333333333333,2.22,"weekday",7,"15 to 19","3-5km","car",2.22,0.0833333333333333,0.583333333333333,0.583333333333333
"100031/1001",NA,100031,7,"50-54 years","female",21,19,"Work",211.326843261719,211.326843261719,"car",0.416666666666667,27.4,"weekday",1,"40 to 64",">10km","car",27.4,0.416666666666667,2.91666666666667,2.91666666666667
"100031/1001",NA,100031,7,"50-54 years","female",21,20,"Work",211.326843261719,211.326843261719,"car",0.5,27.25,"weekday",2,"40 to 64",">10km","car",27.25,0.5,3.5,3.5
"100031/1002",NA,100031,8,"50-54 years","male",21,21,"Work",205.661956787109,205.661956787109,"car",0.75,16.23,"weekday",1,"40 to 64",">10km","car",16.23,0.75,5.25,5.25
